,code_player,dreamteam_count,form,in_dreamteam,now_cost,photo,points_per_game,selected_by_percent,status,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,full_name,id_player,club_name,strength,strength_overall_home,strength_overall_away,strength_attack_home,strength_attack_away,strength_defence_home,strength_defence_away,singular_name,squad_select,squad_min_play,squad_max_play,event_next_first,team,team_h_difficulty_next_first,team_a_difficulty_next_first,h_a_next_first,next_1,event_next_second,team_h_difficulty_next_second,team_a_difficulty_next_second,h_a_next_second,next_2,event_third,team_h_difficulty_third,team_a_difficulty_third,h_a_third,next_3,points_by_diff
110,235382,0,0.2,False,4.9,235382,1.5,0.0,i,3,2295,8,4201,269,0.0,0.6,Alzate,90,0,0,0,1,0,0,0,0,0,0,0,14,12.0,24.5,2.0,3.9,332,144,231,134,333,169,337,153,Steven Alzate,4,Brighton,3,1140,1180,1140,1180,1090,1130,Midfielder,5,2,5,8,Brighton,3.0,2,a,Norwich,9,4,3,h,Man City,10,3,5,a,Liverpool,0.75
111,243016,0,1.2,False,5.5,243016,3.6,0.5,a,18,41298,231,42166,1282,0.2,3.3,Mac Allister,187,1,1,1,1,0,0,0,0,0,0,3,58,90.8,53.1,86.0,23.0,139,52,144,87,93,52,121,60,Alexis Mac Allister,4,Brighton,3,1140,1180,1140,1180,1090,1130,Midfielder,5,2,5,8,Brighton,3.0,2,a,Norwich,9,4,3,h,Man City,10,3,5,a,Liverpool,1.8
112,243505,0,1.5,False,4.5,243505,1.9,0.8,a,13,83403,1819,58567,1795,0.3,2.9,Moder,266,0,1,1,2,0,0,0,0,0,0,0,39,34.6,32.4,56.0,12.4,287,117,192,109,137,72,232,106,Jakub Moder,4,Brighton,3,1140,1180,1140,1180,1090,1130,Midfielder,5,2,5,8,Brighton,3.0,2,a,Norwich,9,4,3,h,Man City,10,3,5,a,Liverpool,0.95
113,423649,0,0.2,False,5.9,423649,0.7,0.0,d,2,1062,21,8993,169,0.0,0.3,Mwepu,91,0,0,0,1,0,0,0,1,0,0,0,4,8.8,14.0,7.0,2.8,348,151,277,150,299,160,346,159,Enock Mwepu,4,Brighton,3,1140,1180,1140,1180,1090,1130,Midfielder,5,2,5,8,Brighton,3.0,2,a,Norwich,9,4,3,h,Man City,10,3,5,a,Liverpool,0.35
114,209045,0,0.0,False,4.5,209045,1.0,0.0,a,1,2971,85,1868,135,0.0,0.2,Richards,17,0,0,0,0,0,0,0,0,0,0,0,4,2.6,11.5,8.0,2.2,381,174,293,154,293,157,356,162,Taylor Richards,4,Brighton,3,1140,1180,1140,1180,1090,1130,Midfielder,5,2,5,8,Brighton,3.0,2,a,Norwich,9,4,3,h,Man City,10,3,5,a,Liverpool,0.5
115,486672,0,0.0,False,4.5,486672,0.0,0.0,u,0,713,0,817,13,0.0,0.0,Caicedo,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,546,215,537,218,519,212,549,216,Moisés Caicedo,4,Brighton,3,1140,1180,1140,1180,1090,1130,Midfielder,5,2,5,8,Brighton,3.0,2,a,Norwich,9,4,3,h,Man City,10,3,5,a,Liverpool,0.0
116,441192,0,0.0,False,4.5,441192,0.0,0.0,a,0,56,56,10,10,0.0,0.0,Sarmiento,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,535,208,526,211,504,202,538,209,Jeremy Sarmiento,4,Brighton,3,1140,1180,1140,1180,1090,1130,Midfielder,5,2,5,8,Brighton,3.0,2,a,Norwich,9,4,3,h,Man City,10,3,5,a,Liverpool,0.0
117,115382,1,4.8,False,6.5,115382,4.6,3.7,a,32,334841,42718,240862,9584,0.7,4.9,Maupay,585,4,0,2,5,0,0,0,2,0,0,5,125,149.0,91.6,180.0,41.6,52,5,81,9,42,17,37,10,Neal Maupay,4,Brighton,3,1140,1180,1140,1180,1090,1130,Forward,3,1,3,8,Brighton,3.0,2,a,Norwich,9,4,3,h,Man City,10,3,5,a,Liverpool,2.3
118,233425,0,0.2,False,5.3,233425,1.0,0.1,a,2,9552,475,18568,469,0.0,0.4,Connolly,59,0,0,0,0,0,0,0,0,0,0,0,0,0.2,1.4,6.0,0.6,402,54,340,49,309,49,389,50,Aaron Connolly,4,Brighton,3,1140,1180,1140,1180,1090,1130,Forward,3,1,3,8,Brighton,3.0,2,a,Norwich,9,4,3,h,Man City,10,3,5,a,Liverpool,0.5
119,50175,0,3.2,False,6.0,50175,3.5,0.2,d,14,24797,191,23072,2474,0.5,2.3,Welbeck,238,1,0,1,2,0,0,0,0,0,0,3,41,50.0,17.0,64.0,13.2,252,31,259,37,118,37,225,34,Danny Welbeck,4,Brighton,3,1140,1180,1140,1180,1090,1130,Forward,3,1,3,8,Brighton,3.0,2,a,Norwich,9,4,3,h,Man City,10,3,5,a,Liverpool,1.75
